Gender,Age,Daily meals frequency,Physical exercise,Height,Weight,BMR,Carbs,Proteins,Fats,Calories,BMI
1,18,3,0,145,69,1345.25,201.788,80.715,53.81,1614.302,32.81807372
1,19,2,1,157,54,1265.25,217.465,86.986,57.991,1739.723,21.90758246
0,18,2,1,163,71,1643.75,282.52,113.008,75.339,2260.163,26.72287252
0,23,3,0,165,53,1451.25,217.688,87.075,58.05,1741.502,19.46740129
1,21,4,0,160,97,1704,255.6,102.24,68.16,2044.8,37.890625
1,22,4,0,140,72,1324,198.6,79.44,52.96,1588.8,36.73469388
1,31,2,0,157,78,1445.25,216.788,86.715,57.81,1734.302,31.64428577
1,20,3,3,160,38,1119,241.284,96.514,64.342,1930.27,14.84375
0,23,3,0,168,105,1990,298.5,119.4,79.6,2388,37.20238095
1,22,4,0,163,55,1297.75,194.662,77.865,51.91,1557.298,20.70081674
0,21,3,4,168,58,1530,363.375,145.35,96.9,2907,20.54988662
0,16,3,2,173,58,1586.25,307.336,122.934,81.956,2458.684,19.37919743
0,25,2,0,178,100,1992.5,298.875,119.55,79.7,2391,31.56167151
1,37,3,0,145,97,1530.25,229.538,91.815,61.21,1836.302,46.13555291
0,22,3,1,165,63,1556.25,267.48,106.992,71.328,2139.84,23.14049587
1,25,3,0,160,45,1164,174.6,69.84,46.56,1396.8,17.578125
1,35,3,0,163,80,1482.75,222.412,88.965,59.31,1779.298,30.1102789
1,30,3,0,142,100,1576.5,236.475,94.59,63.06,1891.8,49.59333466
0,28,3,0,173,54,1486.25,222.938,89.175,59.45,1783.502,18.04270106
1,20,2,0,145,72,1365.25,204.788,81.915,54.61,1638.302,34.24494649
1,58,2,0,142,70,1136.5,170.475,68.19,45.46,1363.8,34.71533426
1,21,2,0,168,67,1454,218.1,87.24,58.16,1744.8,23.73866213
1,22,3,0,155,50,1197.75,179.662,71.865,47.91,1437.298,20.81165453
1,21,2,0,165,85,1615.25,242.288,96.915,64.61,1938.302,31.22130395
0,20,3,0,170,50,1467.5,220.125,88.05,58.7,1761,17.30103806
1,26,2,2,155,72,1397.75,270.814,108.326,72.217,2166.513,29.96878252
0,37,2,1,163,68,1518.75,261.035,104.414,69.609,2088.277,25.59373706
1,41,3,0,157,107,1685.25,252.788,101.115,67.41,2022.302,43.40946894
1,46,3,1,160,47,1079,185.453,74.181,49.454,1483.622,18.359375
1,35,3,0,140,100,1539,230.85,92.34,61.56,1846.8,51.02040816
1,25,3,0,160,85,1564,234.6,93.84,62.56,1876.8,33.203125
0,25,3,1,178,97,1962.5,337.305,134.922,89.948,2698.44,30.61482136
0,22,3,0,165,45,1376.25,206.438,82.575,55.05,1651.502,16.52892562
0,26,3,0,173,52,1476.25,221.438,88.575,59.05,1771.502,17.37445287
0,24,2,4,160,70,1585,376.438,150.575,100.383,3011.499,27.34375
1,18,3,0,165,50,1280.25,192.038,76.815,51.21,1536.302,18.36547291
1,18,2,0,168,55,1349,202.35,80.94,53.96,1618.8,19.48696145
0,23,3,0,173,91,1881.25,282.188,112.875,75.25,2257.502,30.40529253
1,26,3,0,157,99,1680.25,252.038,100.815,67.21,2016.302,40.16390117
1,40,3,0,160,40,1039,155.85,62.34,41.56,1246.8,15.625
1,25,2,3,152,64,1304,281.175,112.47,74.98,2249.4,27.70083102
0,35,4,0,168,109,1970,295.5,118.2,78.8,2364,38.61961451
0,22,2,0,170,61,1567.5,235.125,94.05,62.7,1881,21.10726644
1,22,4,0,170,90,1691.5,253.725,101.49,67.66,2029.8,31.14186851
0,34,3,0,163,112,1973.75,296.062,118.425,78.95,2368.498,42.15439046
0,25,4,0,178,90,1892.5,283.875,113.55,75.7,2271,28.40550436
0,25,2,0,170,78,1722.5,258.375,103.35,68.9,2067,26.98961938
1,25,2,0,157,48,1175.25,176.288,70.515,47.01,1410.302,19.47340663
0,24,4,1,170,70,1647.5,283.164,113.266,75.51,2265.31,24.22145329
1,41,4,0,155,88,1482.75,222.412,88.965,59.31,1779.298,36.62851197
1,39,2,0,155,76,1372.75,205.912,82.365,54.91,1647.298,31.63371488
0,18,3,0,152,93,1795,269.25,107.7,71.8,2154,40.25277008
0,23,4,4,173,86,1831.25,434.922,173.969,115.979,3479.375,28.73467206
1,23,3,0,163,67,1412.75,211.912,84.765,56.51,1695.298,25.21735858
0,26,2,0,165,89,1796.25,269.438,107.775,71.85,2155.502,32.69054178
0,17,2,0,163,95,1888.75,283.312,113.325,75.55,2266.498,35.75595619
0,22,3,0,168,113,2075,311.25,124.5,83,2490,40.03684807
0,25,2,0,163,44,1338.75,200.812,80.325,53.55,1606.498,16.56065339
0,26,3,1,170,88,1817.5,312.383,124.953,83.302,2499.062,30.44982699
1,22,3,0,140,48,1084,162.6,65.04,43.36,1300.8,24.48979592
1,25,2,0,157,75,1445.25,216.788,86.715,57.81,1734.302,30.42719786
1,20,3,0,157,76,1480.25,222.038,88.815,59.21,1776.302,30.83289383
0,22,3,0,157,115,2026.25,303.938,121.575,81.05,2431.502,46.65503672
0,23,3,3,178,92,1922.5,414.539,165.816,110.544,3316.316,29.03673779
1,32,3,0,163,46,1157.75,173.662,69.465,46.31,1389.298,17.31341037
0,21,3,3,173,60,1581.25,340.957,136.383,90.922,2727.658,20.04744562
0,25,3,0,165,46,1371.25,205.688,82.275,54.85,1645.502,16.89623508
0,25,3,0,170,52,1462.5,219.375,87.75,58.5,1755,17.99307958
0,23,4,1,170,72,1672.5,287.461,114.984,76.656,2299.684,24.91349481
1,23,2,0,160,67,1394,209.1,83.64,55.76,1672.8,26.171875
0,23,2,1,170,71,1662.5,285.742,114.297,76.198,2285.938,24.56747405
0,23,3,0,173,54,1511.25,226.688,90.675,60.45,1813.502,18.04270106
0,22,3,0,170,65,1607.5,241.125,96.45,64.3,1929,22.49134948
0,25,3,0,170,46,1402.5,210.375,84.15,56.1,1683,15.91695502
0,25,3,0,165,42,1331.25,199.688,79.875,53.25,1597.502,15.42699725
1,23,4,0,152,80,1474,221.1,88.44,58.96,1768.8,34.62603878
0,18,2,0,168,73,1695,254.25,101.7,67.8,2034,25.86451247
0,21,3,0,165,46,1391.25,208.688,83.475,55.65,1669.502,16.89623508
0,18,3,0,168,55,1515,227.25,90.9,60.6,1818,19.48696145
0,22,3,2,173,56,1536.25,297.648,119.059,79.373,2381.185,18.71094925
0,25,3,0,160,116,2040,306,122.4,81.6,2448,45.3125
0,24,2,0,180,74,1750,262.5,105,70,2100,22.83950617
1,22,2,0,160,75,1479,221.85,88.74,59.16,1774.8,29.296875
0,22,3,0,168,50,1445,216.75,86.7,57.8,1734,17.7154195
0,32,3,4,165,77,1646.25,390.984,156.394,104.262,3127.87,28.28282828
0,22,2,4,170,72,1677.5,398.406,159.362,106.242,3187.25,24.91349481
0,30,3,0,163,98,1853.75,278.062,111.225,74.15,2224.498,36.88509165
1,20,4,0,165,80,1570.25,235.538,94.215,62.81,1884.302,29.38475666
1,59,2,0,145,72,1170.25,175.538,70.215,46.81,1404.302,34.24494649
0,17,3,0,188,55,1645,246.75,98.7,65.8,1974,15.56133997
1,26,3,0,145,87,1485.25,222.788,89.115,59.41,1782.302,41.37931034
1,44,3,0,157,85,1450.25,217.538,87.015,58.01,1740.302,34.48415757
1,40,3,1,152,80,1389,238.734,95.494,63.662,1909.87,34.62603878
0,19,3,0,170,65,1622.5,243.375,97.35,64.9,1947,22.49134948
1,28,2,0,137,55,1105.25,165.788,66.315,44.21,1326.302,29.30363898
0,24,3,0,163,117,2073.75,311.062,124.425,82.95,2488.498,44.03628289
1,27,3,0,165,49,1225.25,183.788,73.515,49.01,1470.302,17.99816345
1,22,3,3,160,79,1519,327.534,131.014,87.342,2620.27,30.859375
1,24,4,0,147,59,1227.75,184.162,73.665,49.11,1473.298,27.30343838
1,21,3,0,163,45,1202.75,180.412,72.165,48.11,1443.298,16.93703188
0,20,2,4,185,88,1941.25,461.047,184.419,122.946,3688.378,25.71219869
0,23,2,0,165,69,1611.25,241.688,96.675,64.45,1933.502,25.34435262
1,22,2,0,173,50,1310.25,196.538,78.615,52.41,1572.302,16.70620468
0,24,3,0,173,113,2096.25,314.438,125.775,83.85,2515.502,37.75602259
0,24,3,0,163,49,1393.75,209.062,83.625,55.75,1672.498,18.44254582
1,34,2,0,152,66,1279,191.85,76.74,51.16,1534.8,28.56648199
0,23,3,0,157,120,2071.25,310.688,124.275,82.85,2485.502,48.68351657
0,22,3,0,178,80,1807.5,271.125,108.45,72.3,2169,25.2493372
1,21,2,0,152,50,1184,177.6,71.04,47.36,1420.8,21.64127424
0,36,3,0,168,110,1975,296.25,118.5,79,2370,38.9739229
0,22,2,0,175,72,1708.75,256.312,102.525,68.35,2050.498,23.51020408
1,33,2,0,145,56,1140.25,171.038,68.415,45.61,1368.302,26.63495838
0,23,2,0,170,78,1732.5,259.875,103.95,69.3,2079,26.98961938
0,21,3,0,170,50,1462.5,219.375,87.75,58.5,1755,17.30103806
0,34,3,0,163,48,1333.75,200.062,80.025,53.35,1600.498,18.06616734
1,23,3,0,152,58,1254,188.1,75.24,50.16,1504.8,25.10387812
0,27,3,0,173,104,1991.25,298.688,119.475,79.65,2389.502,34.74890574
0,51,4,0,152,85,1550,232.5,93,62,1860,36.7901662
0,23,4,0,178,62,1622.5,243.375,97.35,64.9,1947,19.56823633
0,23,3,0,165,113,2051.25,307.688,123.075,82.05,2461.502,41.50596878
1,33,2,0,145,73,1310.25,196.538,78.615,52.41,1572.302,34.72057075
0,23,2,0,163,72,1628.75,244.312,97.725,65.15,1954.498,27.09925101
0,24,2,1,170,99,1937.5,333.008,133.203,88.802,2664.062,34.25605536
1,27,3,0,160,47,1174,176.1,70.44,46.96,1408.8,18.359375
0,23,3,0,165,44,1361.25,204.188,81.675,54.45,1633.502,16.16161616
1,21,3,2,157,70,1415.25,274.205,109.682,73.121,2193.637,28.398718
0,45,3,0,175,45,1323.75,198.562,79.425,52.95,1588.498,14.69387755
0,33,3,0,168,73,1620,243,97.2,64.8,1944,25.86451247
1,15,2,3,168,65,1464,315.675,126.27,84.18,2525.4,23.03004535
1,27,3,0,145,90,1510.25,226.538,90.615,60.41,1812.302,42.80618312
0,23,2,2,170,85,1802.5,349.234,139.694,93.129,2793.873,29.41176471
0,24,2,0,163,40,1303.75,195.562,78.225,52.15,1564.498,15.05513945
1,31,2,0,165,110,1815.25,272.287,108.915,72.61,2178.298,40.4040404
0,23,2,0,173,100,1971.25,295.688,118.275,78.85,2365.502,33.41240937
0,24,3,2,170,70,1647.5,319.203,127.681,85.121,2553.625,24.22145329
1,54,4,0,157,88,1430.25,214.538,85.815,57.21,1716.302,35.70124549
0,24,3,0,178,90,1897.5,284.625,113.85,75.9,2277,28.40550436
1,28,2,1,152,52,1169,200.922,80.369,53.579,1607.375,22.50692521
0,38,3,0,168,118,2045,306.75,122.7,81.8,2454,41.80839002
1,25,2,1,145,61,1230.25,211.449,84.58,56.386,1691.59,29.01307967
1,58,2,0,157,77,1300.25,195.038,78.015,52.01,1560.302,31.2385898
1,21,3,4,157,54,1255.25,298.122,119.249,79.499,2384.975,21.90758246
0,23,3,0,178,69,1692.5,253.875,101.55,67.7,2031,21.77755334
